icd_code,icd_description,candidate_domain,similarity_score,rank_position,model_name,accepted_as_top1
2536,other disorders of neurohypophysis,Percepcao/Cognicao,0.3875736594200134,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
2536,other disorders of neurohypophysis,Nutricao,0.36632174253463745,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2536,other disorders of neurohypophysis,Eliminacao e Troca,0.3525731861591339,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
311,"depressive disorder, not elsewhere classified",Enfrentamento/Tolerancia ao Estresse,0.3310946226119995,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
311,"depressive disorder, not elsewhere classified",Autopercepcao,0.18657860159873962,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
311,"depressive disorder, not elsewhere classified",Percepcao/Cognicao,0.14525802433490753,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3489,unspecified condition of brain,Percepcao/Cognicao,0.35496944189071655,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3489,unspecified condition of brain,Autopercepcao,0.22813951969146729,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3489,unspecified condition of brain,Seguranca/Protecao,0.22154554724693298,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
55320,"ventral, unspecified, hernia without mention of obstruction or gangrene",Seguranca/Protecao,0.19070544838905334,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
55320,"ventral, unspecified, hernia without mention of obstruction or gangrene",Sexualidade,0.16649681329727173,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
55320,"ventral, unspecified, hernia without mention of obstruction or gangrene",Eliminacao e Troca,0.1625129133462906,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4281,bone marrow replaced by transplant,Crescimento/Desenvolvimento,0.22226127982139587,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V4281,bone marrow replaced by transplant,Autopercepcao,0.21345561742782593,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4281,bone marrow replaced by transplant,Nutricao,0.14794321358203888,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5866,long-term (current) use of aspirin,Atividade/Repouso,0.32750335335731506,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V5866,long-term (current) use of aspirin,Eliminacao e Troca,0.21880708634853363,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5866,long-term (current) use of aspirin,Enfrentamento/Tolerancia ao Estresse,0.1938374936580658,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
30521,"cannabis abuse, continuous",Enfrentamento/Tolerancia ao Estresse,0.2397521734237671,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
30521,"cannabis abuse, continuous",Conforto,0.17408710718154907,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
30521,"cannabis abuse, continuous",Percepcao/Cognicao,0.12183690071105957,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4568,varices of other sites,Eliminacao e Troca,0.24215099215507507,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
4568,varices of other sites,Conforto,0.21523872017860413,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4568,varices of other sites,Percepcao/Cognicao,0.20997899770736694,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
59960,"urinary obstruction, unspecified",Eliminacao e Troca,0.41317838430404663,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
59960,"urinary obstruction, unspecified",Nutricao,0.2943650484085083,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
59960,"urinary obstruction, unspecified",Sexualidade,0.251825749874115,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5861,long-term (current) use of anticoagulants,Atividade/Repouso,0.3721918761730194,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V5861,long-term (current) use of anticoagulants,Eliminacao e Troca,0.2738551199436188,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5861,long-term (current) use of anticoagulants,Conforto,0.25358647108078003,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0389,unspecified septicemia,Seguranca/Protecao,0.37321916222572327,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
0389,unspecified septicemia,Percepcao/Cognicao,0.2614198923110962,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0389,unspecified septicemia,Nutricao,0.18905457854270935,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5533,diaphragmatic hernia without mention of obstruction or gangrene,Seguranca/Protecao,0.22728756070137024,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5533,diaphragmatic hernia without mention of obstruction or gangrene,Atividade/Repouso,0.2263200283050537,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5533,diaphragmatic hernia without mention of obstruction or gangrene,Percepcao/Cognicao,0.18477168679237366,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5934,other ureteric obstruction,Eliminacao e Troca,0.5618953704833984,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5934,other ureteric obstruction,Nutricao,0.36725059151649475,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5934,other ureteric obstruction,Atividade/Repouso,0.31337833404541016,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
59972,microscopic hematuria,Eliminacao e Troca,0.3709254562854767,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
59972,microscopic hematuria,Nutricao,0.3008519411087036,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
59972,microscopic hematuria,Percepcao/Cognicao,0.2028251439332962,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V0481,need for prophylactic vaccination and inoculation against influenza,Promocao da Saude,0.4057307839393616,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V0481,need for prophylactic vaccination and inoculation against influenza,Seguranca/Protecao,0.38547927141189575,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V0481,need for prophylactic vaccination and inoculation against influenza,Atividade/Repouso,0.304801881313324,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V443,unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident,Percepcao/Cognicao,0.12096209824085236,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V443,unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident,Seguranca/Protecao,0.11210855096578598,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V443,unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident,Atividade/Repouso,0.07620374113321304,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V454,person boarding or alighting a car injured in collision with railway train or railway vehicle,Seguranca/Protecao,0.17194655537605286,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V454,person boarding or alighting a car injured in collision with railway train or railway vehicle,Percepcao/Cognicao,0.15221187472343445,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V454,person boarding or alighting a car injured in collision with railway train or railway vehicle,Atividade/Repouso,0.13038486242294312,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
04111,methicillin susceptible staphylococcus aureus in conditions classified elsewhere and of unspecified site,Seguranca/Protecao,0.26762866973876953,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
04111,methicillin susceptible staphylococcus aureus in conditions classified elsewhere and of unspecified site,Enfrentamento/Tolerancia ao Estresse,0.20370937883853912,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
04111,methicillin susceptible staphylococcus aureus in conditions classified elsewhere and of unspecified site,Autopercepcao,0.1963920295238495,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2767,hyperpotassemia,Nutricao,0.23863646388053894,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
2767,hyperpotassemia,Crescimento/Desenvolvimento,0.22394467890262604,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2767,hyperpotassemia,Atividade/Repouso,0.17992287874221802,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
45383,"acute venous embolism and thrombosis of upper extremity, unspecified",Seguranca/Protecao,0.27069222927093506,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
45383,"acute venous embolism and thrombosis of upper extremity, unspecified",Percepcao/Cognicao,0.21839715540409088,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
45383,"acute venous embolism and thrombosis of upper extremity, unspecified",Atividade/Repouso,0.2054254710674286,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5305,dyskinesia of esophagus,Eliminacao e Troca,0.3551756739616394,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5305,dyskinesia of esophagus,Atividade/Repouso,0.3395196199417114,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5305,dyskinesia of esophagus,Nutricao,0.2762909531593323,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
78830,"urinary incontinence, unspecified",Eliminacao e Troca,0.3798479735851288,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
78830,"urinary incontinence, unspecified",Sexualidade,0.32167088985443115,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
78830,"urinary incontinence, unspecified",Nutricao,0.2875032424926758,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4972,other toe(s) amputation status,Percepcao/Cognicao,0.20356164872646332,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V4972,other toe(s) amputation status,Autopercepcao,0.16569767892360687,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4972,other toe(s) amputation status,Eliminacao e Troca,0.1534256935119629,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0383,septicemia due to anaerobes,Seguranca/Protecao,0.3798910975456238,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
0383,septicemia due to anaerobes,Nutricao,0.30295562744140625,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0383,septicemia due to anaerobes,Eliminacao e Troca,0.2645282745361328,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
03842,septicemia due to escherichia coli [e. coli],Seguranca/Protecao,0.32389676570892334,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
03842,septicemia due to escherichia coli [e. coli],Eliminacao e Troca,0.26628148555755615,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
03842,septicemia due to escherichia coli [e. coli],Percepcao/Cognicao,0.22131437063217163,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3940,mitral stenosis,Atividade/Repouso,0.36533793807029724,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3940,mitral stenosis,Eliminacao e Troca,0.24888908863067627,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3940,mitral stenosis,Principios Vitais,0.2465498298406601,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4149,"chronic ischemic heart disease, unspecified",Atividade/Repouso,0.4198375940322876,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
4149,"chronic ischemic heart disease, unspecified",Percepcao/Cognicao,0.3089575469493866,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4149,"chronic ischemic heart disease, unspecified",Eliminacao e Troca,0.29924923181533813,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5778,other specified diseases of pancreas,Conforto,0.3639867901802063,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5778,other specified diseases of pancreas,Eliminacao e Troca,0.33576861023902893,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5778,other specified diseases of pancreas,Percepcao/Cognicao,0.31433600187301636,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7197,difficulty in walking,Conforto,0.31385502219200134,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
7197,difficulty in walking,Atividade/Repouso,0.30909866094589233,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7197,difficulty in walking,Eliminacao e Troca,0.24372780323028564,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
78451,dysarthria,Eliminacao e Troca,0.30443671345710754,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
78451,dysarthria,Conforto,0.2822847366333008,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
78451,dysarthria,Percepcao/Cognicao,0.2532089352607727,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5832,encounter for removal of sutures,Seguranca/Protecao,0.2194347232580185,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V5832,encounter for removal of sutures,Autopercepcao,0.2131023406982422,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V5832,encounter for removal of sutures,Papeis e Relacionamentos,0.21179071068763733,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0388,other specified septicemias,Seguranca/Protecao,0.47324949502944946,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
0388,other specified septicemias,Percepcao/Cognicao,0.372666597366333,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
0388,other specified septicemias,Nutricao,0.25712093710899353,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2469,unspecified disorder of thyroid,Percepcao/Cognicao,0.2668412923812866,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
2469,unspecified disorder of thyroid,Seguranca/Protecao,0.24105334281921387,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2469,unspecified disorder of thyroid,Enfrentamento/Tolerancia ao Estresse,0.23090671002864838,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3004,dysthymic disorder,Enfrentamento/Tolerancia ao Estresse,0.4119323492050171,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3004,dysthymic disorder,Percepcao/Cognicao,0.30652159452438354,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3004,dysthymic disorder,Autopercepcao,0.29007184505462646,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3898,other specified forms of hearing loss,Percepcao/Cognicao,0.4205021858215332,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3898,other specified forms of hearing loss,Atividade/Repouso,0.2737851142883301,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3898,other specified forms of hearing loss,Enfrentamento/Tolerancia ao Estresse,0.25644803047180176,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4263,other left bundle branch block,Atividade/Repouso,0.24541166424751282,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
4263,other left bundle branch block,Eliminacao e Troca,0.22462505102157593,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4263,other left bundle branch block,Percepcao/Cognicao,0.2026233971118927,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
44489,embolism and thrombosis of other specified artery,Seguranca/Protecao,0.32546156644821167,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
44489,embolism and thrombosis of other specified artery,Percepcao/Cognicao,0.3240789771080017,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
44489,embolism and thrombosis of other specified artery,Atividade/Repouso,0.3077690005302429,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5781,blood in stool,Eliminacao e Troca,0.3007481098175049,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5781,blood in stool,Nutricao,0.2705133557319641,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5781,blood in stool,Percepcao/Cognicao,0.16390958428382874,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
36230,"retinal vascular occlusion, unspecified",Percepcao/Cognicao,0.2518818974494934,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
36230,"retinal vascular occlusion, unspecified",Seguranca/Protecao,0.19513267278671265,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
36230,"retinal vascular occlusion, unspecified",Nutricao,0.1873263120651245,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3659,unspecified glaucoma,Atividade/Repouso,0.22969715297222137,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3659,unspecified glaucoma,Percepcao/Cognicao,0.22346490621566772,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3659,unspecified glaucoma,Nutricao,0.2150685042142868,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4439,"peripheral vascular disease, unspecified",Atividade/Repouso,0.24994653463363647,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
4439,"peripheral vascular disease, unspecified",Percepcao/Cognicao,0.23283523321151733,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4439,"peripheral vascular disease, unspecified",Eliminacao e Troca,0.19859418272972107,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
6202,other and unspecified ovarian cyst,Percepcao/Cognicao,0.2634976804256439,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
6202,other and unspecified ovarian cyst,Sexualidade,0.25097715854644775,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
6202,other and unspecified ovarian cyst,Eliminacao e Troca,0.2464502453804016,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7813,lack of coordination,Atividade/Repouso,0.2674490511417389,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
7813,lack of coordination,Crescimento/Desenvolvimento,0.2524777054786682,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7813,lack of coordination,Conforto,0.23662765324115753,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E8150,other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Percepcao/Cognicao,0.21120092272758484,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
E8150,other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Atividade/Repouso,0.12657630443572998,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E8150,other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Seguranca/Protecao,0.10122344642877579,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E8700,"accidental cut, puncture, perforation or hemorrhage during surgical operation",Seguranca/Protecao,0.3865449130535126,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
E8700,"accidental cut, puncture, perforation or hemorrhage during surgical operation",Percepcao/Cognicao,0.2843729257583618,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E8700,"accidental cut, puncture, perforation or hemorrhage during surgical operation",Crescimento/Desenvolvimento,0.19703006744384766,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V1204,personal history of methicillin resistant staphylococcus aureus,Enfrentamento/Tolerancia ao Estresse,0.20165103673934937,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V1204,personal history of methicillin resistant staphylococcus aureus,Autopercepcao,0.19035375118255615,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V1204,personal history of methicillin resistant staphylococcus aureus,Seguranca/Protecao,0.18410402536392212,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V163,person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident,Atividade/Repouso,0.3181312084197998,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V163,person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident,Seguranca/Protecao,0.13319937884807587,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V163,person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident,Conforto,0.10456810891628265,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V641,passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident,Atividade/Repouso,0.18282370269298553,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V641,passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident,Seguranca/Protecao,0.15906493365764618,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V641,passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident,Percepcao/Cognicao,0.1585116684436798,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V667,person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident,Atividade/Repouso,0.19735553860664368,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V667,person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident,Percepcao/Cognicao,0.13948963582515717,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V667,person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident,Seguranca/Protecao,0.13480761647224426,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4592,compression of vein,Conforto,0.28198808431625366,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
4592,compression of vein,Atividade/Repouso,0.19476695358753204,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
4592,compression of vein,Percepcao/Cognicao,0.16088728606700897,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
56889,other specified disorders of peritoneum,Eliminacao e Troca,0.434154212474823,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
56889,other specified disorders of peritoneum,Nutricao,0.3758690655231476,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
56889,other specified disorders of peritoneum,Conforto,0.35405436158180237,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3484,compression of brain,Percepcao/Cognicao,0.34257322549819946,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
3484,compression of brain,Crescimento/Desenvolvimento,0.25574761629104614,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
3484,compression of brain,Conforto,0.25203579664230347,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5559,regional enteritis of unspecified site,Seguranca/Protecao,0.24627065658569336,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
5559,regional enteritis of unspecified site,Eliminacao e Troca,0.2381933629512787,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
5559,regional enteritis of unspecified site,Nutricao,0.19008195400238037,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
60001,hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (luts),Eliminacao e Troca,0.4056832194328308,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
